name 	 betax 	 betay 	 length
BS_50A	8.62495e+01	9.11333e+01	2.19920348e+04
BS_50L	1.72482e+02	1.59130e+02	1.67234600e+02
BS_53V	6.72592e+02	6.72592e+02	3.15860000e+01
BS_53H	6.72617e+02	6.72618e+02	3.15860000e+01
BS_63V	6.81208e+02	6.87551e+02	2.84219500e+02
BS_63H	1.43588e+03	1.43589e+03	9.49760000e+01
BS_69	4.44904e+02	4.24637e+02	1.30644500e+02
BS_74	5.97672e+02	5.97673e+02	6.46100000e+01
MBW	1.38629e+02	1.35212e+02	7.06000000e+01
MQW_V	1.92240e+02	2.10154e+02	7.45920000e+01
MQW_H	1.92240e+02	2.10154e+02	7.45920000e+01
Warm_Pipe	3.42293e+02	3.43518e+02	3.59270780e+03
