name 	 betax 	 betay 	 length
BS_50A	8.64251e+01	9.14506e+01	2.19920348e+04
BS_50L	1.46210e+02	1.68252e+02	1.67234600e+02
BS_53V	3.50123e+02	3.50123e+02	3.15260000e+01
BS_53H	2.72564e+02	2.72564e+02	3.15260000e+01
BS_63V	3.96819e+02	3.99168e+02	2.84219500e+02
BS_63H	5.74055e+02	5.74053e+02	9.49760000e+01
BS_69	2.50302e+02	2.75314e+02	1.30644500e+02
BS_74	4.28781e+02	4.28781e+02	6.46100000e+01
MBW	1.38223e+02	1.35564e+02	7.06000000e+01
MQW_V	1.92240e+02	2.10153e+02	7.45920000e+01
MQW_H	1.92240e+02	2.10153e+02	7.45920000e+01
Warm_Pipe	2.12740e+02	2.26848e+02	3.59225980e+03
taperBS53_BS63	6.34118e+02	6.34118e+02	1.20000000e-01
taperBS63_BS74	1.05513e+03	1.05513e+03	3.08000000e-01
taperBS74_warm	1.02797e+03	1.02797e+03	1.40000000e-01
BPM61CW	3.08942e+02	3.08942e+02	1.20000000e+00
BPM61strip	7.54484e+02	7.35988e+02	1.00000000e+00
BPM80strip	9.10250e+02	9.08384e+02	1.00000000e+00
RF	1.64166e+02	2.68082e+02	8.76000000e+00
CMS	1.49387e+02	1.49387e+02	1.86000000e+01
ALICE	3.95663e+01	3.95663e+01	8.60000000e+00
LHCb	1.01554e+02	1.01554e+02	8.60000000e+00
