name 	 betax 	 betay 	 length
BS_50A	1.45493e+02	1.48425e+02	2.19920348e+04
BS_50L	5.30097e+02	5.16172e+02	1.67234600e+02
BS_53V	3.57836e+03	3.57836e+03	3.15860000e+01
BS_53H	3.50074e+03	3.50074e+03	3.15860000e+01
BS_63V	3.65460e+03	3.65726e+03	2.84219500e+02
BS_63H	8.85942e+03	8.85942e+03	9.49760000e+01
BS_69	1.91400e+03	1.93466e+03	1.30644500e+02
BS_74	3.77985e+03	3.77984e+03	6.46100000e+01
MBW	1.38224e+02	1.35564e+02	7.06000000e+01
MQW_V	1.92195e+02	2.10125e+02	7.45920000e+01
MQW_H	1.92195e+02	2.10125e+02	7.45920000e+01
Warm_Pipe	1.70519e+03	1.70774e+03	3.59270780e+03
