name 	 betax 	 betay 	 length
BS_50A	8.62521e+01	9.13856e+01	2.19920348e+04
BS_50L	1.63556e+02	1.70831e+02	1.67234600e+02
BS_53V	6.72592e+02	6.72592e+02	3.15860000e+01
BS_53H	6.72618e+02	6.72618e+02	3.15860000e+01
BS_63V	6.82709e+02	6.85725e+02	2.84219500e+02
BS_63H	1.43589e+03	1.43588e+03	9.49760000e+01
BS_69	4.33262e+02	4.58271e+02	1.30644500e+02
BS_74	5.97673e+02	5.97672e+02	6.46100000e+01
MBW	1.38223e+02	1.35564e+02	7.06000000e+01
MQW_V	1.92239e+02	2.10153e+02	7.45920000e+01
MQW_H	1.92239e+02	2.10153e+02	7.45920000e+01
Warm_Pipe	3.39007e+02	3.51697e+02	3.59270780e+03
