EE-1 584.0 10.4 261.827 41500 6640 3.08
EE-2 616.4 11.6 273.406 42200 6750 3.12
EE-3 643.7 12.4 282.985 42800 6840 3.11
EE-4 668.3 13.1 291.565 43200 6920 3.07
EE-5 691.3 13.4 299.441 43700 6980 2.98
EE-6 713.0 13.8 306.779 44000 7050 2.90
EE-7 733.8 13.9 313.774 44400 7100 2.78
EE-8 753.9 13.8 320.394 44700 7160 2.65
EE-9 773.4 13.7 326.786 45000 7210 2.51
EE-10 792.3 13.6 332.885 45300 7250 2.38
EE-11 810.9 13.2 338.800 45600 7300 2.23
EE-12 829.1 13.4 344.524 45900 7340 2.18
EE-13 846.9 13.6 350.174 46100 7380 2.12
EE-14 864.5 14.1 355.586 46400 7420 2.12
EE-15 881.8 15.3 361.025 46600 7460 2.23
EE-16 882.5 29.1 254.527 32800 5250 2.97
EE-17 899.0 16.9 366.052 46800 7490 2.38
EE-18 913.1 31.9 261.555 33200 5310 3.08
EE-19 915.9 19.0 371.277 47000 7520 2.59
EE-20 932.6 22.0 376.068 47200 7550 2.90
EE-21 938.5 34.2 267.345 33500 5350 3.15
EE-22 949.1 25.9 380.823 47400 7580 3.31
EE-23 961.3 37.7 272.569 33700 5390 3.34
EE-24 965.4 29.0 384.936 47500 7600 3.59
EE-25 981.4 26.4 377.092 46100 7380 3.07
EE-26 982.5 43.3 283.380 34700 5540 3.77
EE-27 997.2 38.3 384.257 46600 7460 4.37
EE-28 1002.6 50.8 287.502 34800 5570 4.27
EE-29 1012.8 65.6 384.861 46400 7420 7.20
EE-30 1022.3 64.8 307.264 36800 5890 5.55
EE-31 1029.2 11.1 383.042 45800 7320 1.17
EE-32 1041.3 7.7 352.255 41800 6690 0.73
EE-33 1048.0 39.0 362.253 42900 6860 3.70
EE-34 1059.4 46.0 387.941 45700 7310 4.55
EE-35 1069.0 61.2 365.983 42900 6860 5.58
EE-36 1078.1 109.3 395.230 46100 7380 10.54
EE-37 1089.5 111.4 395.899 46000 7360 10.49
EE-38 1098.9 73.6 392.352 45400 7260 6.72
EE-39 1109.1 58.4 411.714 47400 7580 5.46
EE-40 1120.3 53.6 411.507 47100 7540 4.89
EE-41 1130.1 16.9 413.423 47100 7540 1.52
EE-42 1140.5 1.0 426.490 48400 7740 0.09
EE-43 1151.8 3.4 428.854 48400 7750 0.30
EE-44 1162.0 24.7 431.644 48500 7770 2.16
EE-45 1172.3 37.2 443.973 49700 7950 3.27
EE-46 1182.7 5.9 597.881 66600 10660 0.68
EE-47 1184.2 64.8 502.507 56000 8960 6.29
EE-48 1194.4 83.5 449.415 49800 7970 7.09
EE-49 1204.8 120.7 457.296 50500 8080 10.21
EE-50 1215.9 116.5 462.682 50900 8140 9.74
EE-51 1224.0 53.3 708.804 77700 12420 6.70
EE-52 1227.1 120.9 468.264 51200 8200 10.00
EE-53 1237.6 145.4 473.350 51600 8250 11.89
EE-54 1248.5 140.6 477.885 51800 8290 11.35
EE-55 1258.2 44.8 725.904 78400 12550 5.39
EE-56 1259.8 143.0 480.708 51900 8310 11.37
EE-57 1270.6 130.0 487.587 52400 8390 10.26
EE-58 1281.2 113.6 493.826 52900 8460 8.89
EE-59 1288.9 15.4 730.306 78000 12480 1.75
EE-60 1292.6 115.1 496.257 52900 8460 8.85
EE-61 1303.6 83.6 501.082 53200 8510 6.35
EE-62 1314.1 44.4 523.910 55400 8860 3.46
EE-63 1317.5 1.0 707.978 74800 11960 0.10
EE-64 1325.6 15.7 511.207 53800 8610 1.17
EE-65 1336.8 24.9 514.438 53900 8630 1.82
EE-66 1343.5 10.0 736.694 77000 12330 1.04
EE-67 1347.9 34.5 526.657 55000 8800 2.54
EE-68 1358.7 39.8 525.447 54600 8740 2.86
EE-69 1369.1 8.4 718.757 74500 11910 0.81
EE-70 1370.0 28.0 547.471 56700 9070 2.06
EE-71 1381.1 35.8 533.216 55000 8800 2.51
EE-72 1391.7 41.7 569.985 58600 9370 3.07
EE-73 1393.8 26.0 705.997 72500 11600 2.36
EE-74 1403.2 103.2 543.984 55700 8910 7.09
EE-75 1414.3 114.0 546.615 55700 8910 7.71
