EE-1 751.0 0.361 450.3 0.153 63000 10080
EE-2 786.6 0.305 458.5 0.123 62700 10030
EE-3 816.4 0.264 465.2 0.103 62400 9980
EE-4 843.3 0.238 471.1 0.090 62200 9950
EE-5 868.2 0.210 476.5 0.077 62000 9920
EE-6 891.8 0.190 481.5 0.068 61800 9890
EE-7 914.3 0.171 486.3 0.059 61600 9860
EE-8 936.0 0.154 490.9 0.052 61500 9840
EE-9 956.9 0.140 495.3 0.046 61400 9820
EE-10 977.3 0.128 499.5 0.042 61200 9800
EE-11 997.2 0.117 503.7 0.037 61100 9780
EE-12 1016.6 0.114 507.5 0.036 61000 9760
EE-13 1035.6 0.116 511.4 0.036 60900 9750
EE-14 1054.3 0.121 514.9 0.037 60800 9720
EE-15 1072.6 0.134 518.5 0.040 60700 9710
EE-16 1090.6 0.155 521.8 0.045 60600 9690
EE-17 1108.3 0.183 525.0 0.053 60400 9670
EE-18 1125.8 0.216 528.4 0.061 60400 9660
EE-19 1137.7 3.123 441.0 0.874 50100 8020
EE-20 1143.2 0.243 531.2 0.068 60200 9640
EE-21 1160.3 0.276 534.4 0.076 60100 9620
EE-22 1171.3 2.613 447.5 0.710 50100 8020
EE-23 1177.3 0.304 537.6 0.082 60100 9610
EE-24 1194.2 0.320 540.5 0.085 60000 9590
EE-25 1199.2 2.307 452.3 0.612 50100 8010
EE-26 1211.0 0.335 543.7 0.088 59900 9580
EE-27 1224.0 2.117 456.4 0.550 50000 8000
EE-28 1227.7 0.343 547.2 0.089 59900 9580
EE-29 1244.3 0.344 549.9 0.088 59800 9560
EE-30 1247.1 1.974 460.0 0.504 49900 7990
EE-31 1260.8 0.344 553.1 0.087 59700 9550
EE-32 1268.7 1.848 463.3 0.464 49900 7980
EE-33 1277.2 0.338 556.2 0.084 59700 9540
EE-34 1289.3 1.746 466.4 0.431 49800 7970
EE-35 1293.5 0.442 558.7 0.109 59500 9530
EE-36 1308.7 2.010 493.2 0.489 52300 8360
EE-37 1309.9 0.189 531.0 0.046 56200 9000
EE-38 1325.0 0.308 548.9 0.074 57800 9250
EE-39 1329.1 1.213 486.6 0.290 51200 8180
EE-40 1341.0 0.402 556.7 0.095 58300 9320
EE-41 1349.2 1.963 495.4 0.463 51700 8270
EE-42 1357.6 1.326 558.7 0.311 58100 9300
EE-43 1369.4 2.497 523.9 0.580 54300 8680
EE-44 1375.8 0.752 541.7 0.174 56000 8960
EE-45 1388.0 0.460 556.8 0.106 57300 9170
EE-46 1396.9 0.736 530.2 0.168 54400 8700
EE-47 1406.2 0.392 562.2 0.089 57500 9200
EE-48 1418.0 0.572 554.9 0.128 56500 9040
EE-49 1426.5 1.542 549.0 0.344 55700 8910
EE-50 1437.1 1.560 570.1 0.346 57600 9220
