EE-1 1912.6 0.0009 445.7 0.0002 39061 6281
EE-2 1913.5 0.0002 445.9 0.0000 39070 6283
EE-3 1915.2 0.0087 446.2 0.0014 39084 6285
EE-4 1917.5 0.0002 446.7 0.0000 39104 6288
EE-5 1920.4 0.0240 447.4 0.0040 39130 6292
EE-6 1924.1 0.0028 448.1 0.0005 39161 6297
EE-7 1928.2 0.0378 449.1 0.0062 39199 6303
EE-8 1933.1 0.0228 450.1 0.0038 39241 6310
EE-9 1938.6 0.0293 451.3 0.0048 39290 6318
EE-10 1944.8 0.0762 452.7 0.0125 39344 6327
EE-11 1951.6 0.0028 454.1 0.0004 39404 6336
EE-12 1959.0 0.1177 455.8 0.0191 39469 6347
EE-13 1967.0 0.0428 457.5 0.0069 39540 6358
EE-14 1975.6 0.0559 459.4 0.0090 39617 6371
EE-15 1984.8 0.1701 461.4 0.0273 39699 6384
EE-16 1994.6 0.0117 463.6 0.0019 39786 6398
EE-17 2005.0 0.1342 465.9 0.0213 39879 6413
EE-18 2016.0 0.1954 468.3 0.0309 39977 6428
EE-19 2027.4 0.0058 470.8 0.0009 40080 6445
EE-20 2039.5 0.1811 473.5 0.0283 40188 6462
EE-21 2052.1 0.2435 476.3 0.0378 40301 6481
EE-22 2065.3 0.0144 479.2 0.0022 40419 6500
EE-23 2079.0 0.1628 482.3 0.0249 40542 6519
EE-24 2093.2 0.3231 485.4 0.0491 40669 6540
EE-25 2107.9 0.0794 488.7 0.0120 40801 6561
EE-26 2123.1 0.0639 492.1 0.0096 40937 6583
EE-27 2138.7 0.3414 495.6 0.0508 41077 6605
EE-28 2154.9 0.2659 499.2 0.0393 41221 6629
EE-29 2171.4 0.0163 502.9 0.0024 41369 6652
EE-30 2188.5 0.1536 506.8 0.0223 41520 6677
EE-31 2206.0 0.3941 510.7 0.0569 41675 6702
EE-32 2223.9 0.2546 514.7 0.0364 41833 6727
EE-33 2242.2 0.0184 518.8 0.0026 41994 6753
EE-34 2260.9 0.1297 523.0 0.0183 42158 6779
EE-35 2280.0 0.3796 527.3 0.0530 42325 6806
EE-36 2299.4 0.3401 531.6 0.0471 42494 6833
EE-37 2319.3 0.0905 536.0 0.0124 42664 6861
EE-38 2339.5 0.0253 540.6 0.0034 42837 6888
EE-39 2360.0 0.2238 545.1 0.0302 43011 6916
EE-40 2380.8 0.3883 549.8 0.0519 43186 6945
EE-41 2402.0 0.3038 554.4 0.0403 43361 6973
EE-42 2423.5 0.0943 559.2 0.0124 43537 7001
EE-43 2445.2 0.0130 563.9 0.0017 43712 7029
EE-44 2467.2 0.1341 568.7 0.0730 43887 7057
EE-45 2489.5 0.3108 573.5 0.0397 44060 7085
EE-46 2512.0 0.3650 578.4 0.0462 44231 7113
EE-47 2534.8 0.2554 583.2 0.0321 44399 7140
EE-48 2557.8 0.0867 588.0 0.0108 44562 7166
EE-49 2581.0 0.0023 592.8 0.0003 44722 7192
EE-50 2604.3 0.0744 597.5 0.0091 44875 7216
EE-51 2627.8 0.2595 602.1 0.0314 45021 7240
EE-52 2651.5 0.4330 606.7 0.0520 45160 7262
EE-53 2675.4 0.4743 611.1 0.0564 45288 7283
EE-54 2699.3 0.3520 615.4 0.0415 45403 7301
EE-55 2723.3 0.1536 619.5 0.0179 45498 7316
EE-56 2747.5 0.0335 622.9 0.0039 45553 7325
EE-57 2771.6 0.1103 624.9 0.0127 45497 7316
EE-58 2795.2 0.3660 610.4 0.0417 44253 7116
EE-59 2798.4 0.0011 442.7 0.0001 32078 5158
EE-60 2799.2 0.0030 443.5 0.0003 32132 5167
